k,rep,rule,mase,smape,rmsse,owa
5,12,inv_error_series,1.2827,0.1143,1.0949,0.778
5,13,equal,1.3052,0.115,1.1118,0.7873
5,13,inv_error_series,1.2906,0.1142,1.1002,0.7802
5,14,equal,1.2943,0.1147,1.1045,0.7831
5,14,inv_error_series,1.2901,0.1145,1.1012,0.7812
5,15,equal,1.2927,0.1142,1.1024,0.7807
5,15,inv_error_series,1.2867,0.114,1.0978,0.7782
5,16,equal,1.2721,0.1129,1.0875,0.7702
5,16,inv_error_series,1.2693,0.1129,1.0852,0.7694
5,17,equal,1.303,0.1151,1.1124,0.7869
5,17,inv_error_series,1.2936,0.1144,1.105,0.7818
5,18,equal,1.3146,0.1165,1.1217,0.7951
5,18,inv_error_series,1.3006,0.1155,1.1104,0.7875
5,19,equal,1.2962,0.1149,1.1078,0.7843
5,19,inv_error_series,1.2921,0.1147,1.1046,0.7824
6,0,equal,1.2989,0.1155,1.1074,0.7871
6,0,inv_error_series,1.287,0.1148,1.0981,0.7811
6,1,equal,1.3047,0.1153,1.1129,0.788
6,1,inv_error_series,1.2921,0.1144,1.1029,0.7814
6,2,equal,1.3101,0.1162,1.117,0.7927
6,2,inv_error_series,1.2958,0.1152,1.1058,0.7853
6,3,equal,1.3018,0.1157,1.1101,0.7887
6,3,inv_error_series,1.2888,0.1149,1.1001,0.7822
6,4,equal,1.2844,0.1148,1.096,0.7803
6,4,inv_error_series,1.2794,0.1144,1.0923,0.7774
6,5,equal,1.2983,0.1153,1.1075,0.7861
6,5,inv_error_series,1.2893,0.1145,1.1004,0.7809
6,6,equal,1.3043,0.1146,1.1122,0.7856
6,6,inv_error_series,1.2896,0.1139,1.1005,0.7786
6,7,equal,1.2963,0.1139,1.1047,0.7809
6,7,inv_error_series,1.2839,0.1133,1.095,0.775
6,8,equal,1.2851,0.114,1.0978,0.7776
6,8,inv_error_series,1.2798,0.1138,1.0937,0.7755
6,9,equal,1.3041,0.1154,1.113,0.7881
6,9,inv_error_series,1.292,0.1147,1.1031,0.7823
6,10,equal,1.2969,0.1146,1.1063,0.7833
6,10,inv_error_series,1.285,0.1138,1.0969,0.7771
6,11,equal,1.2976,0.1143,1.1052,0.7826
6,11,inv_error_series,1.2859,0.1136,1.0961,0.7767
6,12,equal,1.3027,0.115,1.1104,0.7865
6,12,inv_error_series,1.2877,0.1141,1.0987,0.779
6,13,equal,1.2706,0.1129,1.0853,0.7697
6,13,inv_error_series,1.2684,0.1128,1.0834,0.7688
6,14,equal,1.2982,0.1147,1.1059,0.7841
6,14,inv_error_series,1.2841,0.1139,1.0948,0.7772
6,15,equal,1.2841,0.1136,1.0968,0.776
6,15,inv_error_series,1.2793,0.1134,1.0931,0.774
6,16,equal,1.2799,0.1144,1.0925,0.7777
6,16,inv_error_series,1.275,0.114,1.0888,0.775
6,17,equal,1.2949,0.1157,1.1057,0.7868
6,17,inv_error_series,1.2857,0.1151,1.0985,0.7817
6,18,equal,1.3019,0.1155,1.1107,0.7881
6,18,inv_error_series,1.2885,0.1147,1.1001,0.7813
6,19,equal,1.2868,0.1135,1.0976,0.7767
6,19,inv_error_series,1.2796,0.1133,1.0919,0.7738
7,0,equal,1.2913,0.1139,1.1009,0.7794
7,0,inv_error_series,1.28,0.1133,1.0921,0.7738
7,1,equal,1.2933,0.1138,1.1018,0.7793
7,1,inv_error_series,1.2798,0.113,1.0913,0.7729
7,2,equal,1.2976,0.1151,1.1063,0.7853
7,2,inv_error_series,1.2871,0.1144,1.0982,0.7798
7,3,equal,1.2896,0.1142,1.1023,0.7799
7,3,inv_error_series,1.2856,0.1141,1.0991,0.7781
7,4,equal,1.2897,0.1145,1.101,0.7808
7,4,inv_error_series,1.2817,0.1138,1.0946,0.7762
7,5,equal,1.295,0.1151,1.1046,0.7846
7,5,inv_error_series,1.2836,0.1144,1.0958,0.7786
7,6,equal,1.2862,0.1139,1.0978,0.7779
7,6,inv_error_series,1.2768,0.1133,1.0905,0.773
7,7,equal,1.2972,0.115,1.1068,0.7849
7,7,inv_error_series,1.2853,0.1143,1.0976,0.779
7,8,equal,1.2864,0.1145,1.0983,0.7801
7,8,inv_error_series,1.281,0.1143,1.0943,0.7775
7,9,equal,1.2919,0.1151,1.1025,0.7836
7,9,inv_error_series,1.2825,0.1144,1.0953,0.7784
7,10,equal,1.2945,0.1138,1.1038,0.7799
7,10,inv_error_series,1.2841,0.1132,1.0957,0.7747
7,11,equal,1.2877,0.1137,1.0975,0.7775
7,11,inv_error_series,1.2782,0.1132,1.0901,0.7729
7,12,equal,1.2935,0.1142,1.1034,0.7809
7,12,inv_error_series,1.2829,0.1136,1.095,0.7756
7,13,equal,1.3039,0.1154,1.113,0.7881
7,13,inv_error_series,1.2948,0.1148,1.106,0.7834
7,14,equal,1.2948,0.1147,1.1045,0.783
7,14,inv_error_series,1.2838,0.114,1.0958,0.7775
7,15,equal,1.2915,0.1137,1.1004,0.7784
7,15,inv_error_series,1.2785,0.113,1.0903,0.7723
7,16,equal,1.2901,0.1155,1.1014,0.7847
7,16,inv_error_series,1.2826,0.1149,1.0955,0.7801
7,17,equal,1.2953,0.1143,1.1045,0.782
7,17,inv_error_series,1.2831,0.1136,1.095,0.7759
7,18,equal,1.2988,0.1153,1.1082,0.7862
7,18,inv_error_series,1.2864,0.1145,1.0984,0.78
7,19,equal,1.2937,0.1151,1.1031,0.7842
7,19,inv_error_series,1.2811,0.1143,1.0934,0.7776
8,0,equal,1.2875,0.1141,1.099,0.7788
8,0,inv_error_series,1.2802,0.1136,1.0933,0.7748
8,1,equal,1.2953,0.1148,1.1051,0.7835
8,1,inv_error_series,1.2856,0.1141,1.0976,0.7784
8,2,equal,1.2893,0.1136,1.0993,0.7777
8,2,inv_error_series,1.2775,0.113,1.0901,0.772
8,3,equal,1.2882,0.1139,1.0996,0.7783
8,3,inv_error_series,1.2786,0.1133,1.092,0.7736
8,4,equal,1.2872,0.1137,1.0976,0.7775
8,4,inv_error_series,1.2771,0.1131,1.0898,0.7724
8,5,equal,1.2873,0.1139,1.0983,0.7781
8,5,inv_error_series,1.2772,0.1133,1.0904,0.7729
8,6,equal,1.2919,0.1139,1.1015,0.7795
8,6,inv_error_series,1.2801,0.1133,1.0923,0.7737
8,7,equal,1.295,0.1148,1.1054,0.7836
8,7,inv_error_series,1.2839,0.1142,1.0966,0.778
8,8,equal,1.2914,0.1146,1.102,0.7818
8,8,inv_error_series,1.2812,0.1139,1.0941,0.7764
8,9,equal,1.2793,0.1137,1.0929,0.775
8,9,inv_error_series,1.2745,0.1134,1.0892,0.7727
8,10,equal,1.2909,0.1145,1.101,0.7814
8,10,inv_error_series,1.2812,0.1139,1.0936,0.7764
8,11,equal,1.291,0.114,1.1014,0.7795
8,11,inv_error_series,1.2798,0.1134,1.0927,0.7741
8,12,equal,1.2872,0.1137,1.0978,0.7774
8,12,inv_error_series,1.2767,0.1131,1.0896,0.7721
8,13,equal,1.2808,0.1137,1.094,0.7756
8,13,inv_error_series,1.2754,0.1135,1.0898,0.7731
8,14,equal,1.2887,0.1138,1.0991,0.7781
8,14,inv_error_series,1.2777,0.1132,1.0904,0.7727
8,15,equal,1.2846,0.1136,1.0957,0.7764
8,15,inv_error_series,1.2751,0.1131,1.0882,0.7716
8,16,equal,1.2937,0.1146,1.1035,0.7826
8,16,inv_error_series,1.2828,0.114,1.0951,0.777
8,17,equal,1.287,0.1137,1.0977,0.7773
8,17,inv_error_series,1.2764,0.1131,1.0894,0.772
8,18,equal,1.2869,0.1136,1.0977,0.7769
8,18,inv_error_series,1.2765,0.113,1.0895,0.7718
8,19,equal,1.2892,0.1136,1.0992,0.7776
8,19,inv_error_series,1.2774,0.113,1.0901,0.7719
