freq,unique_id,method,kind,mase,smape,rmsse
hourly,H399,naive2,model,2.024170670989405,0.4017712215134881,1.8352150852671771
hourly,H40,naive2,model,1.1188272469723857,0.050541123611488444,0.9374824744280458
hourly,H401,naive2,model,1.3577944572748266,0.251909351936538,1.3255924378633694
hourly,H404,naive2,model,0.9701492537313433,0.22687566973514886,0.9795141044638774
hourly,H410,naive2,model,1.333758209471137,0.3288535658357486,1.18442885479351
hourly,H413,naive2,model,1.1892008906481941,0.24463590255971024,1.1094325762621096
hourly,H42,naive2,model,0.8582939305364512,0.03979418127514749,0.6957678690904643
hourly,H47,naive2,model,0.5998709396210241,0.02464905331412781,0.5505527060679146
hourly,H48,naive2,model,1.437902798200493,0.08018581763292533,1.3886400641553225
hourly,H49,naive2,model,1.3421497116676335,0.056088851693460874,1.2891736253268167
hourly,H52,naive2,model,0.8194166037539374,0.05017414333114809,0.7812215675665396
hourly,H53,naive2,model,1.3596747468548633,0.08098830528326083,1.3786064262512263
hourly,H58,naive2,model,1.6263223005654759,0.07051883157722645,1.3997838295928968
hourly,H6,naive2,model,0.9769979755021866,0.03215497311805187,0.9585830210200496
hourly,H60,naive2,model,0.6311244625080993,0.056699529887455545,0.6477001391912426
hourly,H61,naive2,model,1.2047760455332839,0.09988232536976856,1.0432614342039048
hourly,H63,naive2,model,1.1263380174512987,0.03547333505557521,1.0401596238434963
hourly,H69,naive2,model,0.9620845235969768,0.15341117702558807,0.9450477199960693
hourly,H71,naive2,model,0.6599047165898055,0.03887175504726637,0.7049643529143221
hourly,H73,naive2,model,1.16322268134479,0.15321741748265183,1.1787695840500847
hourly,H76,naive2,model,0.3808906484500336,0.0627405130107694,0.3703507804256819
hourly,H77,naive2,model,1.4680068588962591,0.18543309282959528,1.4221390436114993
hourly,H79,naive2,model,0.7351855231043255,0.033198276915251325,0.6609054164122018
hourly,H8,naive2,model,0.8872653680118971,0.0451599311284519,0.7695235908195828
hourly,H82,naive2,model,0.9781724511930585,0.04697258857600489,0.8431563605140273
hourly,H85,naive2,model,1.3006573466985119,0.1944080185090535,1.2031254108967162
hourly,H90,naive2,model,0.9498606726395006,0.06163384782105272,0.9205766297412845
hourly,H92,naive2,model,0.47833486626551863,0.04356490757635082,0.4671456968780222
